train_loss,val_loss,train_acc,val_acc,lr
5.437110310109456,5.454237407684326,0.006666666666666667,0.0086,0.049863047384206834
5.22673389561971,5.224194791412353,0.009966666666666667,0.0162,0.04945369001834514
5.101858646647136,5.062684188079834,0.016966666666666668,0.0168,0.04877641290737884
5.031207752482096,4.958076860046387,0.018666666666666668,0.0279,0.047838636441065015
4.924345277404785,4.835263313293457,0.0285,0.0325,0.04665063509461097
4.806891136423746,4.873424691009522,0.038533333333333336,0.0449,0.045225424859373684
4.703165615844727,4.602232493591309,0.04986666666666666,0.0639,0.04357862063693485
4.595629181671143,4.488492248535156,0.06063333333333333,0.0784,0.04172826515897145
4.490345228322347,4.348959037780761,0.07353333333333334,0.0898,0.03969463130731182
4.380704235839843,4.230724649047851,0.08773333333333333,0.1112,0.03749999999999999
4.294977016703288,4.264757046508789,0.09853333333333333,0.1087,0.035168416076895005
4.182973655954997,4.091417817687988,0.11303333333333333,0.1337,0.032725424859373686
4.0689782098134355,3.9624685050964357,0.12973333333333334,0.1575,0.03019779227044398
3.970866072845459,3.9073518341064455,0.14206666666666667,0.1593,0.02761321158169134
3.869256748453776,3.9271443840026854,0.15943333333333334,0.1898,0.025000000000000005
3.7710609939575197,3.6756768569946288,0.17233333333333334,0.1979,0.022386788418308667
3.6824753040313722,4.04980179977417,0.18426666666666666,0.2081,0.019802207729556015
3.593340393447876,3.509259959411621,0.2026,0.2204,0.017274575140626316
3.507061190287272,3.7283258911132813,0.21706666666666666,0.2461,0.014831583923105
3.4028706797281902,3.4264948791503906,0.23483333333333334,0.2506,0.012500000000000006
3.310427301534017,3.6351344718933105,0.2527,0.2755,0.010305368692688175
3.2248640562693276,3.462017567443848,0.2665666666666667,0.2796,0.008271734841028553
3.1482106643676757,3.4924233116149903,0.28,0.2846,0.0064213793630651505
3.0595051133473716,3.0033983127593995,0.2955,0.3142,0.0047745751406263175
2.981221185429891,3.6352576538085937,0.3093,0.3152,0.0033493649053890334
2.9059975111643475,4.088965930557251,0.32713333333333333,0.3265,0.0021613635589349763
2.8039876763661704,3.7448108291625974,0.34413333333333335,0.3389,0.001223587092621162
2.7518094099680583,5.1813740730285645,0.3557,0.3435,0.0005463099816548579
2.696195113245646,3.846466111755371,0.36466666666666664,0.3487,0.000136952615793165
2.679820830154419,3.5086105083465577,0.36983333333333335,0.3478,0.0
